release;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
True;['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.04001818969845772, 0.057884953916072845, 0.05844120681285858, 0.054873693734407425, 0.05168499797582626, 0.0574466697871685, 0.04886728897690773, 0.057349856942892075, 0.06352858990430832, 0.057301413267850876];[0.189606711268425, 0.1845369189977646, 0.17800293862819672, 0.19534052908420563, 0.2052038311958313, 0.19488176703453064, 0.18424879014492035, 0.18595488369464874, 0.18794703483581543, 0.20419344305992126];[0.9349726939031356, 0.9562646235328882, 0.997778801340598, 0.9721435897344867, 0.9951838696465136, 0.9943403635639345, 0.9188517714476845, 0.9421345964949474, 0.8785036606767168, 0.9465441337814693];[0.8061154129579675, 0.8206393781144319, 0.8205174570108795, 0.8204615505628654, 0.8200101429826467, 0.8248823255591835, 0.8364355972357266, 0.821747399953383, 0.8243688726688609, 0.8211578877188844];0.01;0.05473968610167503;0.006181412263812274;0.19099168479442596;0.00838279356896496;0.9536718104122375;0.03614801809613793;0.821633602476483;0.006960114963661099
True;['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.06762560456991196, 0.059539809823036194, 0.06453938037157059, 0.07128442823886871, 0.07476944476366043, 0.05079967528581619, 0.07456080615520477, 0.06236272305250168, 0.0554850697517395, 0.06346136331558228];[0.12130353599786758, 0.14089268445968628, 0.12170378118753433, 0.13422879576683044, 0.146479070186615, 0.13517214357852936, 0.13798658549785614, 0.13847777247428894, 0.11470280587673187, 0.11987394094467163];[0.9682497158339484, 0.9839438738959834, 0.8944254793030535, 0.8763507011281907, 0.9045209152908229, 0.9841924392044179, 0.9169981603701243, 0.9516481444088458, 0.9788684737855703, 0.8789112352495984];[0.9214593047041171, 0.9891287458306506, 0.8884598251531943, 0.9645903856093857, 0.9701894690580084, 0.9799787004097575, 0.9518789618250806, 0.9157919328815766, 0.8863681858175619, 0.905545738719721];0.01;0.06444283053278924;0.007494438766147856;0.13108211159706115;0.010197007323255364;0.9338109138470555;0.04194452201365872;0.9373391250009053;0.03639776582151117
True;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.10263903439044952, 0.09519306570291519, 0.07799025624990463, 0.0861237496137619, 0.09247995167970657, 0.0717480331659317, 0.09103968739509583, 0.0820290744304657, 0.07788176089525223, 0.08616413176059723];[0.006311460398137569, 0.003224617801606655, 0.006475628353655338, 0.010228483937680721, 0.02351086400449276, 0.010245004668831825, 0.006169254891574383, 0.009367069229483604, 0.009390137158334255, 0.013430303893983364];[0.8789701677933512, 0.9288640284615228, 0.9985543725793379, 0.9820945155332955, 0.9878513890680819, 0.9935625757317468, 0.9721683925822443, 0.9471629903591704, 0.9838914256817606, 0.8805110937912908];[-0.6557682213141705, 0.28414369600650147, 0.49932067821441417, 0.48259970391604956, 0.9438686324004084, 0.8738922845435488, 0.5979433019430818, 0.9249310342986545, 0.7495711037848355, 0.4754534799606207];0.01;0.08632887452840805;0.008812873671770725;0.009835282433778047;0.005305947703721656;0.9553630951581802;0.04289425627783792;0.5175955693753944;0.4437863969980575
