brightness augmentation;ti;vi;tl;vl;ta;va;lr
False;['data/2.jpg' 'data/4.jpg'];['data/1.jpg'];0.008670778013765812;0.01475890539586544;0.8873678168420722;0.832196360740706;0.01
False;['data/1.jpg' 'data/4.jpg'];['data/2.jpg'];0.0121926786378026;0.009386586956679821;0.9862539703961883;0.9030275331051751;0.01
False;['data/1.jpg' 'data/2.jpg'];['data/4.jpg'];0.010577365756034851;0.008734824135899544;0.9948788491884623;0.8184013598558713;0.01
