tl;vl;ta;va;lr;ti;vi;f
0.002041471190750599;0.012466967105865479;0.8441532261442011;0.5896028419219779;0.008;[2, 4];[1];0.1
0.007628109306097031;0.010210508480668068;0.6340780624042726;0.8177520563598861;0.008;[1, 4];[2];0.1
0.006308191921561956;0.013153315521776676;0.9973849407189332;-0.027657010578203245;0.008;[1, 2];[4];0.1
0.01707722246646881;0.015727318823337555;0.8361220520525066;0.9520191112941725;0.008;[2, 4];[1];0.3
0.02676672302186489;0.009629101492464542;0.6833219106388522;0.543714377929774;0.008;[1, 4];[2];0.3
0.02462470345199108;0.010593302547931671;0.8536275390625;0.45797636719593837;0.008;[1, 2];[4];0.3
0.01894563063979149;0.016080239787697792;0.783392544867598;0.6106367659589125;0.008;[2, 4];[1];0.5
0.014651616103947163;0.00918421521782875;0.9078899924468153;0.8202789398993062;0.008;[1, 4];[2];0.5
0.026599660515785217;0.01011684350669384;0.6771031926022397;0.8062721471841814;0.008;[1, 2];[4];0.5
0.011626636609435081;0.01278558000922203;0.8264472141485674;0.8767013441962332;0.008;[2, 4];[1];0.7
0.018272997811436653;0.011945920065045357;0.8501625009174701;0.6133383774971606;0.008;[1, 4];[2];0.7
0.021182626485824585;0.010054167360067368;0.9921401269436073;0.6044577265454116;0.008;[1, 2];[4];0.7
0.014211831614375114;0.012746846303343773;0.9317536496971992;0.9862434308126822;0.008;[2, 4];[1];0.9
0.016647323966026306;0.011664927005767822;0.9510076952052265;0.5720579956250265;0.008;[1, 4];[2];0.9
0.01868227869272232;0.01165986992418766;0.9457964429391323;0.5386084960738458;0.008;[1, 2];[4];0.9
0.013142385520040989;0.010802045464515686;0.9438307983417833;0.9703001754093233;0.008;[2, 4];[1];0.95
0.014592571184039116;0.010674349032342434;0.8567370293950647;0.6728504061911627;0.008;[1, 4];[2];0.95
0.01256902702152729;0.010492319241166115;0.30054485522803354;0.5405271607945801;0.008;[1, 2];[4];0.95
0.017214663326740265;0.015705693513154984;0.8342634664898992;0.9342218717027175;0.008;[2, 4];[1];1.0
0.01627492345869541;0.007492665201425552;0.9698309451230354;0.43349642809275346;0.008;[1, 4];[2];1.0
0.01904621161520481;0.011474431492388248;0.9313841901871074;0.44851325918156715;0.008;[1, 2];[4];1.0
