rmbad;ti;vi;tl;vl;ta;va;lr
0.15;[2, 4];[1];0.008406778797507286;0.014052949845790863;0.9813805934289755;0.8536837359538008;0.1
0.15;[2, 4];[1];0.006654622033238411;0.011645255610346794;0.9840762822392375;0.9176778246591424;0.1
0.15;[1, 4];[2];0.011743062175810337;0.010373118333518505;0.9756663956215282;0.8267446864455155;0.1
0.15;[1, 4];[2];0.009269973263144493;0.014300908893346786;0.9829929025210398;-0.1912821911063307;0.1
0.15;[1, 2];[4];0.011405767872929573;0.011305015534162521;0.6509746820780233;0.790426091486157;0.1
0.15;[1, 2];[4];0.01147056370973587;0.010387281887233257;0.9934814173171259;5.296324291070853e-05;0.1
