rmbad;ti;vi;tl;vl;ta;va;lr
0.15;[1, 2, 4];[];0.010754242539405823;;0.9551251163841149;;0.01
0.1;[1, 2, 4];[];0.008643999695777893;;0.9964576765870886;;0.01
