augmode;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'val';['data/2.jpg', 'data/4.jpg'];['data/1.jpg'];[0.009271102026104927, 0.008962695486843586, 0.009320471435785294, 0.007733020465821028, 0.008026016876101494, 0.00812661461532116, 0.007039263844490051, 0.008616253733634949, 0.008229147642850876, 0.00953814946115017];[0.01507626473903656, 0.01507626473903656, 0.01507626473903656, 0.01507626473903656, 0.01507626473903656, 0.01507626473903656, 0.01507626473903656, 0.01507626473903656, 0.01507626473903656, 0.01507626473903656];[0.9749329349441263, 0.9868106742701998, 0.9859496280252272, 0.9466475521506326, 0.9709588102828804, 0.9681193289886741, 0.9727421063991585, 0.9916953513991482, 0.9650570232049378, 0.9665694632940594];[0.8218946512202977, 0.8218946512202977, 0.8218946512202977, 0.8218946512202977, 0.8218946512202977, 0.8218946512202977, 0.8218946512202977, 0.8218946512202977, 0.8218946512202977, 0.8218946512202977];0.01;0.008486273558810353;0.0007570131621055357;0.01507626473903656;0.0;0.9729482872959044;0.012404037059062343;0.8218946512202978;1.1102230246251565e-16
'val';['data/1.jpg', 'data/4.jpg'];['data/2.jpg'];[0.012122937478125095, 0.010182438418269157, 0.010859753005206585, 0.01104400958865881, 0.01061444915831089, 0.010672947391867638, 0.010401105508208275, 0.009354664944112301, 0.012035544961690903, 0.011236142367124557];[0.009263137355446815, 0.009263137355446815, 0.009263137355446815, 0.009263137355446815, 0.009263137355446815, 0.009263137355446815, 0.009263137355446815, 0.009263137355446815, 0.009263137355446815, 0.009263137355446815];[0.9650114674369058, 0.9848730083354259, 0.9692686842807526, 0.9770650339084489, 0.9800069922349651, 0.9793707008189302, 0.9737990451868308, 0.994929289142916, 0.9850289558763773, 0.9988800363732494];[0.894609115649475, 0.894609115649475, 0.894609115649475, 0.894609115649475, 0.894609115649475, 0.894609115649475, 0.894609115649475, 0.894609115649475, 0.894609115649475, 0.894609115649475];0.01;0.010852399282157421;0.0007862997753875842;0.009263137355446815;0.0;0.9808233213594801;0.01004428520586305;0.8946091156494751;1.1102230246251565e-16
'val';['data/1.jpg', 'data/2.jpg'];['data/4.jpg'];[0.011980471201241016, 0.01232822798192501, 0.010585805401206017, 0.011169333010911942, 0.010248474776744843, 0.010901650413870811, 0.010798764415085316, 0.009988056495785713, 0.010788403451442719, 0.010721364989876747];[0.009140094742178917, 0.009140094742178917, 0.009140094742178917, 0.009140094742178917, 0.009140094742178917, 0.009140094742178917, 0.009140094742178917, 0.009140094742178917, 0.009140094742178917, 0.009140094742178917];[0.9772166115604567, 0.9653673530016964, 0.9709649279242313, 0.9562155133088786, 0.9728595804387322, 0.976250914488006, 0.9521859013362649, 0.9730864504322028, 0.9721916825388818, 0.9859021040765887];[0.7948504559567149, 0.7948504559567149, 0.7948504559567149, 0.7948504559567149, 0.7948504559567149, 0.7948504559567149, 0.7948504559567149, 0.7948504559567149, 0.7948504559567149, 0.7948504559567149];0.01;0.010951055213809013;0.0006828753216070316;0.009140094742178917;0.0;0.9702241039105939;0.009464574160215638;0.7948504559567148;1.1102230246251565e-16
'train';['data/2.jpg', 'data/4.jpg'];['data/1.jpg'];[0.009190654382109642, 0.007790079805999994, 0.008640969172120094, 0.008277987129986286, 0.0070490119978785515, 0.008877117186784744, 0.008919119834899902, 0.008936889469623566, 0.008964912965893745, 0.010431192815303802];[0.01326661929488182, 0.014335392974317074, 0.014029763638973236, 0.013621414080262184, 0.01530684158205986, 0.016220228746533394, 0.01628848910331726, 0.013692831620573997, 0.013530731201171875, 0.014688270166516304];[0.9823568255542474, 0.9882303453936395, 0.9873406067181875, 0.9644122626309362, 0.9625011634855895, 0.9938831305912686, 0.9502714122481415, 0.9692545024682737, 0.9713996091182111, 0.9363317989153548];[0.8259652574040786, 0.8212028603027595, 0.8036591615878336, 0.825564879079882, 0.812515479849722, 0.7921226633192352, 0.7987390699685675, 0.8115436916365647, 0.8185255866553603, 0.7905428138585837];0.01;0.008707793476060034;0.0008472389301528557;0.0144980582408607;0.001047694764247773;0.970598165712385;0.017220029460303404;0.8100381463662588;0.012526917893491477
'train';['data/1.jpg', 'data/4.jpg'];['data/2.jpg'];[0.010370434261858463, 0.01093004085123539, 0.01042093150317669, 0.011377481743693352, 0.010509215295314789, 0.010731738992035389, 0.010932983830571175, 0.01043425127863884, 0.010356929153203964, 0.010404882952570915];[0.009119376540184021, 0.007849352434277534, 0.00913063995540142, 0.007531864568591118, 0.009215744212269783, 0.010777970775961876, 0.008246446028351784, 0.009339550510048866, 0.009582210332155228, 0.007792705669999123];[0.9974939653198985, 0.970008341292967, 0.9665747223827378, 0.9858890637116842, 0.9866617485245949, 0.9639462122449934, 0.9920638638945789, 0.9632775405210859, 0.9848017555621841, 0.9686860373816398];[0.848323465899786, 0.7816439785395086, 0.7862964808286508, 0.913708173834987, 0.9193366989314302, 0.9076404838383811, 0.8806299679558118, 0.8944505872517073, 0.9421133823762924, 0.8536103495444047];0.01;0.010646888986229897;0.00032206940293802655;0.008858586102724076;0.0009485853873432435;0.9779403250836364;0.01206943111173311;0.872775356900096;0.05210280228729759
'train';['data/1.jpg', 'data/2.jpg'];['data/4.jpg'];[0.01122002862393856, 0.010479888878762722, 0.010195691138505936, 0.012467635795474052, 0.011534081771969795, 0.01047587115317583, 0.011118728667497635, 0.01259599532932043, 0.012041652575135231, 0.011046179570257664];[0.009584909304976463, 0.009511693380773067, 0.007485939189791679, 0.00977296382188797, 0.009525490924715996, 0.010141046717762947, 0.009280143305659294, 0.0105776097625494, 0.008488904684782028, 0.010195949114859104];[0.9968803194210181, 0.9994829459892156, 0.9428723362029882, 0.9901135059900524, 0.9941387999071346, 0.9535642078618393, 0.973497784602795, 0.9814980658165012, 0.9927661189707633, 0.9263541009159119];[0.8185762737762976, 0.8314655004620738, 0.8142419111889909, 0.8278240214251302, 0.8137703293802734, 0.7865606227391203, 0.8090097632132538, 0.8371883263251928, 0.8306482623502215, 0.8553567255731581];0.01;0.011317575350403786;0.0007949641079758142;0.009456465020775795;0.0008513032909167142;0.975116818567822;0.0242712962957842;0.8224641736433712;0.017617724672119063
