model_encoder;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'resnet152';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004078584723174572, 0.003119165077805519, 0.003777682315558195, 0.0048015424981713295, 0.003987531643360853, 0.004525311291217804, 0.0034644119441509247, 0.004469461273401976, 0.004648479633033276, 0.0028622690588235855];[0.01595563255250454, 0.014241321012377739, 0.01448996365070343, 0.01573243923485279, 0.015683291479945183, 0.01623702608048916, 0.014571268111467361, 0.017812835052609444, 0.01656435616314411, 0.014779389835894108];[0.8141004652934525, 0.9101209562180602, 0.9130964675306966, 0.6263954921875781, 0.8911713262236475, 0.7940009639681506, 0.9499798467270382, 0.920536492310362, 0.8131817145492545, 0.9019165304590523];[0.6132188375399846, 0.6474929969297185, 0.6795907006517996, 0.5981832722724094, 0.6058856805705435, 0.6377633825172293, 0.6587274399805036, 0.6105302418736831, 0.6182168489617144, 0.6685126708955005];0.01;0.003973443945869804;0.0006296985312285681;0.015606752317398786;0.0010579602937169426;0.8534500255467293;0.09089426178358999;0.6338122072193088;0.027169838309369268
'resnet152';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.005198974162340164, 0.005768653936684132, 0.005696805194020271, 0.00433965353295207, 0.004823205526918173, 0.005264245439320803, 0.004671209957450628, 0.005361957475543022, 0.005122657399624586, 0.0036427462473511696];[0.010552328079938889, 0.010843422263860703, 0.010758865624666214, 0.0098697105422616, 0.010144280269742012, 0.008061458356678486, 0.00966009683907032, 0.009284215047955513, 0.00942162610590458, 0.010430797003209591];[0.7296648188441875, 0.9612039827014366, 0.9968836961660354, 0.8283608443013205, 0.9924986958954863, 0.9615192910744131, 0.9668286373535293, 0.9156040055320323, 0.9742597690596115, 0.8411423668793879];[0.9958491700613917, 0.9213596498861559, 0.8133950116327479, 0.8729758219513851, 0.8785297500063772, 0.8280841748162877, 0.8780129709503434, 0.928987437093474, 0.8540613900086788, 0.9374323001528925];0.01;0.004989010887220502;0.0006122244320080427;0.00990268001332879;0.0008025779201400412;0.9167966107807441;0.08395610595180085;0.8908687676559734;0.05244838004914769
'resnet152';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006454179063439369, 0.005358221009373665, 0.006346292793750763, 0.006186979822814465, 0.00635913759469986, 0.006000040099024773, 0.007063144352287054, 0.006144139915704727, 0.00663414504379034, 0.0074351173825562];[0.000230110454140231, 0.00020516679796855897, 0.00047022977378219366, 0.0003828707558568567, 0.0008514959481544793, 0.0006459822179749608, 0.00029872957384213805, 0.0006924261106178164, 7.990542508196086e-05, 0.0005490982439368963];[0.9852973977200618, 0.9668757150372878, 0.8944430132180639, 0.9691939882600972, 0.9778481258401416, 0.9255383631372471, 0.9319976149121829, 0.9426023892157449, 0.8760148827720372, 0.8505835695426852];[0.17131202828627135, 0.9002191315254383, 0.9541155431357019, 0.6066429469320065, 0.7958473598043214, 0.8241220826779504, 0.6303514610987753, 0.522975216727873, 0.6584833881095964, 0.8295930015465808];0.01;0.006398139707744122;0.0005412597028882236;0.00044060153013560923;0.00023246045242690782;0.932039505965555;0.04343963060492114;0.6893662159844516;0.2170386654090642
'resnet34';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.006655065342783928, 0.007416754029691219, 0.006033203564584255, 0.004375616554170847, 0.007023302838206291, 0.007722876965999603, 0.0073125530034303665, 0.006464899983257055, 0.00790486205369234, 0.005621586460620165];[0.02432609535753727, 0.023233801126480103, 0.025547757744789124, 0.02672497183084488, 0.02320459485054016, 0.02395731583237648, 0.024017641320824623, 0.026759743690490723, 0.023125749081373215, 0.025918325409293175];[2.5218516621627884e-06, 1.3583447003862048e-06, 1.9462489755373014e-06, 2.6403190409585164e-06, 1.985048538655221e-06, 1.0855024118461287e-06, 1.6423756099559483e-06, 1.8986798974163221e-06, 1.1967543925850421e-06, 1.5115647730157278e-06];[8.17766903526973e-07, 8.597772522822567e-07, 8.099979186271256e-07, 7.893503022327053e-07, 8.577889584193699e-07, 8.773845707743533e-07, 8.15032528023174e-07, 7.828685664179602e-07, 8.590851769962882e-07, 7.589178894207294e-07];0.01;0.006653072079643607;0.0010265024402274978;0.024681599624454976;0.001362494723618702;1.77866900025192e-06;4.965417447146467e-07;8.227970066720936e-07;3.732494934154355e-08
'resnet34';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004117654636502266, 0.004447778221219778, 0.0049810633063316345, 0.0043769520707428455, 0.005878193769603968, 0.005228671245276928, 0.0041611166670918465, 0.006425636820495129, 0.004965328145772219, 0.0056679388508200645];[0.009845508262515068, 0.008361673913896084, 0.009429607540369034, 0.010574612766504288, 0.010052550584077835, 0.009939303621649742, 0.009987902827560902, 0.010655617341399193, 0.009369056671857834, 0.009156899526715279];[0.8653117920896424, 0.9165678244933155, 0.8290235985230368, 0.903723275678008, 0.7739227517233412, 0.8668655826168153, 0.9818867026175654, 0.7781224626378752, 0.9331682780116644, 0.8687928689449013];[0.943525783275373, 0.9369027945322668, 0.9571036022335242, 0.9519362930161828, 0.9425036989656537, 0.9570627978311947, 0.9995038493485933, 0.9290317139055156, 0.9724270894542831, 0.9421389402316731];0.01;0.005025033373385668;0.0007397829227289513;0.009737273305654525;0.0006495066002060658;0.8717385137336165;0.06258522899801314;0.953213656279426;0.01930164544363259
'resnet34';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006598298437893391, 0.010105878114700317, 0.008417604491114616, 0.008185073733329773, 0.006902805529534817, 0.005559549201279879, 0.0075625088065862656, 0.008335723541676998, 0.007459456566721201, 0.009251648560166359];[0.0008311609271913767, 0.0008527750615030527, 0.0008237498113885522, 0.0007739100256003439, 0.0009752423502504826, 0.0008713577990420163, 0.00165019859559834, 0.0008117371471598744, 0.0010761170415207744, 0.0007593802292831242];[0.6792429950896164, 0.5046090780903272, 0.504590877355402, 0.5754392180950831, 0.550526044567372, 0.5130221016095069, 0.6593525635534403, 0.44353914710524034, 0.6593127825176849, 0.33127637983743763];[0.1651699157537636, 0.036891435385784876, 0.14945849503558795, 0.08338504917171519, 0.12384685694032294, 0.07450779298894117, 0.15109571214163353, 0.08282865407844908, 0.08837352959367661, 0.18083885736294347];0.01;0.007837854698300362;0.0012517100575409647;0.0009425628988537938;0.00025267112325844164;0.5420911187821111;0.1026141170954699;0.11363962984528184;0.04459356561676624
'timm-efficientnet-b5';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0037408266216516495, 0.0029385199304670095, 0.003992467653006315, 0.004182824864983559, 0.004417466465383768, 0.0031917307060211897, 0.003201344981789589, 0.004090014845132828, 0.003062250092625618, 0.0034290121402591467];[0.01274048537015915, 0.014998648315668106, 0.010997176170349121, 0.010583183728158474, 0.013736698776483536, 0.013001350685954094, 0.013871019706130028, 0.011936111375689507, 0.012233812361955643, 0.011719688773155212];[0.8410805860405853, 0.908098058110697, 0.9819329899458673, 0.9851806067710756, 0.9736573225291171, 0.8502174732392948, 0.8934592136604145, 0.9509780253804215, 0.7884310181037391, 0.9343883426691256];[0.8110472711675393, 0.7876543239621101, 0.8697852418410251, 0.8439540898429814, 0.8137111818614036, 0.7723701240208185, 0.8033162227341032, 0.8290563593723553, 0.8045237623764991, 0.8267264485581283];0.1;0.0036246458301320674;0.000499741628615566;0.012581817526370286;0.0012971115173366905;0.9107423636450337;0.0636610404049329;0.8162145025736963;0.026436229608477135
'timm-efficientnet-b5';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004507480189204216, 0.005460899323225021, 0.004574548453092575, 0.0047380439937114716, 0.004798926413059235, 0.003354534739628434, 0.004412490408867598, 0.0035957908257842064, 0.0038268878124654293, 0.004761687479913235];[0.008933378383517265, 0.009389902465045452, 0.009643267840147018, 0.00893588736653328, 0.008481891825795174, 0.009438557550311089, 0.009154679253697395, 0.010027177631855011, 0.009298395365476608, 0.009081985801458359];[0.911586419300857, 0.8389067940317579, 0.9297247253317055, 0.789298729160574, 0.9941544645608289, 0.8976035285795837, 0.9199558229838121, 0.9560566807779696, 0.9912616836729494, 0.9269061029578436];[0.8133305542070479, 0.821825223391375, 0.8452725695348211, 0.7367869515693817, 0.8669951434069489, 0.8078237377482985, 0.9144955583144555, 0.8381728327991278, 0.859485884145689, 0.9159347281335385];0.1;0.004403128963895142;0.0006033262863173453;0.009238512348383665;0.0004050968701993257;0.9155454951357882;0.060043615218475746;0.8420123183250684;0.05014437150405942
'timm-efficientnet-b5';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.0061719403602182865, 0.004592180252075195, 0.004878479987382889, 0.005483629181981087, 0.0051625012420117855, 0.005768831353634596, 0.006028040312230587, 0.005001903977245092, 0.004057278856635094, 0.0053085582330822945];[0.0008210251107811928, 0.0003248543944209814, 0.00035699730506166816, 0.0005650147795677185, 0.00029821580392308533, 8.359080675290897e-05, 0.0006024742033332586, 0.00037821155274286866, 0.0007687651668675244, 0.0008182362653315067];[0.9850888808182846, 0.9736176557450691, 0.9848189474087033, 0.9948572583180775, 0.9727444118355292, 0.9791229651101878, 0.9138752253530175, 0.9973470784356786, 0.9913987805480754, 0.9787230657430829];[0.7205510464393898, 0.9158800318965346, 0.7937460119477999, 0.8986319374980578, 0.9898696393508327, 0.34008981720478837, 0.8051447564292894, 0.9330435242566293, 0.9484579269087047, 0.8154139306629707];0.1;0.005245334375649691;0.0006200682256912972;0.0005017385388782714;0.00023902624830506223;0.9771594269315707;0.022557227916382056;0.8160828622594997;0.17733960478770944
'timm-mobilenetv3_large_100';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.009722542017698288, 0.006938685663044453, 0.006964255589991808, 0.005487776827067137, 0.005357465706765652, 0.005773146636784077, 0.004854404367506504, 0.005954893305897713, 0.004143976606428623, 0.005335649475455284];[0.023862682282924652, 0.021222509443759918, 0.02196214348077774, 0.020913448184728622, 0.02122175320982933, 0.022436950355768204, 0.02199552021920681, 0.022242434322834015, 0.02206679992377758, 0.023209741339087486];[0.27676834252946714, 0.3622828443369245, 0.4141723113836362, 0.25874804559735753, 0.30764889414125385, 0.3869037340072765, 0.4548011797321212, 0.38541943840967385, 0.6935495557852585, 0.4939073997502058];[0.2325117111345768, 0.25405990023168856, 0.2548608116536937, 0.26482057949925886, 0.2535153091928031, 0.24029369002412726, 0.25043301437976906, 0.251106713504872, 0.25277621205967926, 0.24076394347802987];0.2;0.006053279619663954;0.0014685756800693502;0.022113398276269437;0.0008631823452392311;0.4034201745673175;0.11981258730543869;0.24951418851584983;0.008742049174867325
