fraction;ti;vi;tl;vl;ta;va;lr
1;[2, 4];[1];0.008356146514415741;0.009519844315946102;0.5301376830741635;0.5762705483912987;
1;[1, 4];[2];0.010730180889368057;0.009661505930125713;0.7123436217262695;0.6410097556708911;
1;[1, 2];[4];0.011041059158742428;0.012002955190837383;0.7230085831940078;0.7035055817814617;
