tl;vl;ta;va;lr;ti;vi;s
0.008135495707392693;0.014098899438977242;0.8999340887735233;0.7566652666934968;0.008;[2, 4];[1];1
0.010080123320221901;0.008721776306629181;0.9182654081788532;0.874014692333353;0.008;[1, 4];[2];1
0.011178203858435154;0.007882009260356426;0.8939236012477115;0.7373670146070774;0.008;[1, 2];[4];1
