lossf;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'MSE';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.006325597874820232, 0.006779800169169903, 0.006469246931374073, 0.006171854212880135, 0.007181838620454073, 0.006033733487129211, 0.0066975681111216545, 0.006885319482535124, 0.006211091298609972, 0.00643757963553071];[0.02393539622426033, 0.024599947035312653, 0.024239983409643173, 0.023658985272049904, 0.022890817373991013, 0.024437330663204193, 0.02390698716044426, 0.021504979580640793, 0.0244115199893713, 0.024322008714079857];[1.80478718414534e-07, 3.3908070673493995e-07, 2.158043257427522e-07, 4.005832880960014e-07, 6.164248790296867e-07, 7.26467288325594e-07, 2.86364335688738e-07, 3.354389978005301e-07, 3.850313429198948e-07, 1.8619173536293943e-07];[4.041557000178386e-08, 4.0820701818766736e-08, 4.2222444429640404e-08, 4.3934072935236657e-08, 4.5931317416147976e-08, 3.811217774707387e-08, 3.802576964417881e-08, 5.0132927698065544e-08, 4.351238835909044e-08, 3.716618746096856e-08];0.01;0.006519362982362509;0.0003421633471120933;0.023790795542299747;0.0008960295154258303;3.671865618115611e-07;1.707342271729649e-07;4.202735575109528e-08;3.8189828418386296e-09
'MSE';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.00815790705382824, 0.007839703932404518, 0.007892963476479053, 0.008592501282691956, 0.008467718958854675, 0.008431687951087952, 0.008178723976016045, 0.0069631552323699, 0.007443839684128761, 0.008268268778920174];[0.017464755102992058, 0.016695115715265274, 0.01641118712723255, 0.016523882746696472, 0.01686633750796318, 0.017362080514431, 0.018317947164177895, 0.01851540058851242, 0.015586748719215393, 0.014802446588873863];[1.03791107183282e-05, 2.341718024456707e-05, 3.094411673110198e-05, 0.00010195636281651321, 1.1159404603278134e-05, 5.680073597358337e-06, 1.3353784179215289e-05, 4.0043993300487024e-05, 4.953570158838794e-06, 2.1882791916394417e-05];[1.0626739599395307e-08, 1.3973205592598958e-08, 1.396564175415449e-08, 1.0616714285482942e-08, 1.3550685018515196e-08, 1.2563691420552914e-08, 1.379800840251022e-08, 7.665287071745297e-09, 1.130151661143941e-08, 1.9468256895471825e-08];0.01;0.008023647032678128;0.00047968109310190463;0.01685459017753601;0.0010807317713245564;2.6377038826608244e-05;2.7373859271660526e-05;1.2752974665186657e-08;2.947788753948483e-09
'MSE';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.009269149973988533, 0.009503528475761414, 0.009255505166947842, 0.00946819968521595, 0.008277352899312973, 0.00945979543030262, 0.0083210039883852, 0.009780528023838997, 0.00863214023411274, 0.009451732039451599];[0.0007256859680637717, 0.0006749212043359876, 0.0008769734995439649, 0.0003719431988429278, 0.0007633056957274675, 0.0006343680433928967, 0.0004435957525856793, 0.0008743326179683208, 0.0007467367686331272, 0.0008374546887353063];[0.2419087337719964, 0.3794210679302591, 0.14549786826392652, 0.27900881111023856, 0.5124911631576489, 0.3868274934911171, 0.48288936606163424, 0.2531713595348596, 0.5255288720250062, 0.3487627497629182];[0.08900312486616646, 0.12803947971012952, 0.09615198960029592, 0.08885178035461117, 0.08547945795383094, 0.1736465580314689, 0.18088069724104783, 0.12259140207552222, 0.14077557688519327, 0.16871233482178427];0.01;0.009141893591731787;0.0005052139594963319;0.0006949317437829449;0.00016294201688936966;0.35555074851096047;0.12029505853419976;0.12741324015400504;0.03549947777802475
'BCE';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.047473400831222534, 0.05073537304997444, 0.0572856180369854, 0.05559828504920006, 0.04999837279319763, 0.05196196958422661, 0.05224920064210892, 0.05682838708162308, 0.05769018456339836, 0.06177603453397751];[0.19863706827163696, 0.19311785697937012, 0.1871388852596283, 0.18699342012405396, 0.18706411123275757, 0.18558064103126526, 0.191209077835083, 0.20034310221672058, 0.18973952531814575, 0.18642553687095642];[0.9707413826918274, 0.989681965511181, 0.9495545988415659, 0.9974617502165584, 0.9110493930909782, 0.9493509874833932, 0.9478965116984718, 0.951046811800041, 0.9743533185836714, 0.9830263610391626];[0.7276029466148458, 0.7483878901643414, 0.7456579201371363, 0.7463355763141521, 0.7353081295489261, 0.7325943775679473, 0.7396797521807091, 0.7353203313004515, 0.7316572691490701, 0.7572114905240233];0.01;0.05415968261659145;0.004143246755555865;0.1906249225139618;0.00497068045685832;0.9624163080956851;0.02433710852725667;0.7399755683501603;0.008722869747666834
'BCE';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.06921444088220596, 0.06468263268470764, 0.06346990168094635, 0.0632174164056778, 0.06258226186037064, 0.057465292513370514, 0.0641922727227211, 0.059888750314712524, 0.06967918574810028, 0.06721130758523941];[0.14478395879268646, 0.1514892876148224, 0.1427665650844574, 0.13512548804283142, 0.13249364495277405, 0.14684143662452698, 0.1455632448196411, 0.14854294061660767, 0.13481466472148895, 0.12854409217834473];[0.9649199434468962, 0.9341959831456795, 0.9485250357798238, 0.9225257056009192, 0.9517924715497686, 0.990391992440439, 0.9953068118735146, 0.9449622914522285, 0.9299785226333511, 0.9433497637950272];[0.9161931494580715, 0.8983817124814525, 0.8430275096648213, 0.8579427894621149, 0.8767717840470742, 0.8939777210124765, 0.9026762118803018, 0.8949605597134664, 0.846294307269489, 0.7779232105332606];0.01;0.06416034623980522;0.0036401934914440026;0.14109653234481812;0.00734498865509297;0.9525948521717649;0.02306501326702408;0.870814895552253;0.03893228381174789
'BCE';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.09271062165498734, 0.0893440693616867, 0.08957920968532562, 0.09669382870197296, 0.09050071239471436, 0.0984160453081131, 0.09325020015239716, 0.08552238345146179, 0.09127539396286011, 0.08867830038070679];[0.011071423999965191, 0.005021674558520317, 0.008652908727526665, 0.010533743537962437, 0.006801925599575043, 0.007607437204569578, 0.006055514328181744, 0.011201262474060059, 0.012223860248923302, 0.005727432668209076];[0.9870269001214866, 0.9392791481148263, 0.9530234822828955, 0.9844176110955751, 0.9909931911403961, 0.8631405008429502, 0.8440292532367499, 0.9932212073166701, 0.9490815723016178, 0.974790867552502];[0.4484846195603337, 0.7318720138601347, 0.5756351943414936, 0.48581865239642885, 0.6425768610876943, 0.5925963112642426, 0.7463093556426045, 0.45913097774619693, 0.49919937492698785, 0.6311489199588698];0.01;0.09159707650542259;0.00363761584637899;0.008489718334749341;0.0024774205320186693;0.9479003734005669;0.050570617898560453;0.5812772280784986;0.10233370631243185
'MSE+BCE';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.05968305096030235, 0.05716023966670036, 0.06286623328924179, 0.05542558804154396, 0.05860798433423042, 0.0643848180770874, 0.049944788217544556, 0.05445770546793938, 0.06728106737136841, 0.059456150978803635];[0.2063027322292328, 0.20101086795330048, 0.19791316986083984, 0.20635676383972168, 0.20574410259723663, 0.2120601236820221, 0.2145664393901825, 0.19296398758888245, 0.19897237420082092, 0.2016870230436325];[0.9060707672443126, 0.9506020059206607, 0.9448784742333536, 0.973619315998752, 0.9415787485547527, 0.900359517701494, 0.9990432664996717, 0.9951091861773855, 0.9761749840335161, 0.9041714915844519];[0.7307044430078871, 0.731728854564507, 0.7241143493062587, 0.71724147822949, 0.7356629594111721, 0.7243296460030753, 0.7243362147284763, 0.7277250734104648, 0.7331590035431248, 0.7344732114929184];0.01;0.05892676264047623;0.004817522318130943;0.20375775843858718;0.006231629769585035;0.9491607757948349;0.035025357444883914;0.7283475233697374;0.005523258572227374
'MSE+BCE';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.07816146314144135, 0.0663515031337738, 0.06689329445362091, 0.05860356241464615, 0.06271098554134369, 0.06816532462835312, 0.06998392939567566, 0.06683215498924255, 0.06489690393209457, 0.06944890320301056];[0.13819238543510437, 0.13559392094612122, 0.14369112253189087, 0.13942447304725647, 0.14991891384124756, 0.14082181453704834, 0.1393549144268036, 0.14771737158298492, 0.13686290383338928, 0.14704693853855133];[0.9788771103008453, 0.9869965826437789, 0.9718760184698073, 0.9703289599489007, 0.9940808294036432, 0.9752677562075638, 0.9701199514888309, 0.9347295492478218, 0.9801716669778477, 0.9715313568288902];[0.9078271772010831, 0.8637129777343111, 0.873365062016549, 0.8895094647626368, 0.8747053961787241, 0.9243339911719224, 0.8989845781346886, 0.9097630558647553, 0.8495907479392899, 0.8551199830293169];0.01;0.06720480248332024;0.0048393872581192115;0.1418624758720398;0.004695565585937485;0.973397978151793;0.014877212646539047;0.8846912434033278;0.02395312238572921
'MSE+BCE';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.10171858966350555, 0.08842547982931137, 0.08174565434455872, 0.09513718634843826, 0.0854845717549324, 0.09159629046916962, 0.09307660162448883, 0.0889359638094902, 0.09037501364946365, 0.09758688509464264];[0.013818382285535336, 0.010449996218085289, 0.013814389705657959, 0.01298532634973526, 0.008953775279223919, 0.007296334020793438, 0.008558903820812702, 0.01185664627701044, 0.009654887951910496, 0.009893548674881458];[0.9837309813740857, 0.9913750674488984, 0.9283145763804972, 0.9323601047154224, 0.9386020683295541, 0.9874732095809139, 0.9360524587253866, 0.8718918187750109, 0.9852539207158735, 0.9945962954663046];[0.8411770274675047, 0.6783665708184856, 0.7705017352849219, 0.7373452443049848, 0.814147807170059, 0.8908980518452243, 0.8377581539679032, 0.7380664109326613, 0.7834444491730629, 0.6947621957461254];0.01;0.09140822365880012;0.005529328813346118;0.01072821905836463;0.0021679477817886307;0.9549650501511948;0.03800766533704779;0.7786467646710932;0.06465256666054683
