f;s;ti;vi;ta;va;tl;vl;lr
1;1;[2, 4];[1];0.9735656523865047;0.4737364985912983;1.0797686576843262;0.5711435079574585;1.0000000000000008e-12
0.999;1;[1, 4];[2];0.6649789753280588;0.42453659475316297;2.2223682403564453;1.0496972799301147;1.0000000000000008e-12
0.999;1;[1, 2];[4];0.8002390774984168;0.8213225290336801;1.1857149600982666;0.43791669607162476;1.0000000000000008e-12
